通道,循环序号,充电容量(mAh),放电容量(mAh),放电容量衰减率（%）
4,1,2.9,259.0,100.00
4,2,254.9,254.2,98.13
4,3,254.1,253.4,97.84
4,4,253.6,254.6,98.27
4,5,255.6,255.0,98.42
4,6,255.0,255.0,98.46
4,7,255.6,255.5,98.65
4,8,255.3,254.9,98.39
4,9,255.0,254.7,98.31
4,10,254.4,254.1,98.10
4,11,254.0,254.2,98.14
4,12,254.1,253.8,97.98
4,13,254.0,254.2,98.12
4,14,254.2,254.0,98.05
4,15,254.2,253.9,98.03
4,16,254.0,253.6,97.91
4,17,253.4,253.3,97.77
4,18,253.0,252.8,97.60
4,19,253.0,252.7,97.57
4,20,252.4,252.3,97.42
4,21,252.2,251.6,97.12
4,22,251.5,251.4,97.05
4,23,251.2,251.2,96.98
4,24,251.0,251.1,96.95
4,25,251.1,251.3,97.00
4,26,251.2,251.2,96.97
4,27,251.3,251.2,96.97
4,28,251.2,251.0,96.88
4,29,251.2,251.1,96.92
4,30,250.7,250.8,96.80
4,31,251.2,251.6,97.14
4,32,252.3,252.4,97.42
4,33,251.9,251.8,97.21
4,34,252.0,252.0,97.28
4,35,251.9,251.8,97.21
4,36,251.7,251.7,97.16
4,37,251.4,251.0,96.90
4,38,251.2,251.1,96.94
4,39,251.9,252.1,97.31
4,40,252.1,252.0,97.27
4,41,252.1,252.0,97.27
4,42,252.1,251.9,97.23
4,43,251.5,251.2,96.96
4,44,250.9,250.9,96.86
4,45,251.0,250.8,96.80
4,46,250.7,244.4,94.36
4,47,246.2,246.8,95.28
4,48,247.4,247.7,95.63
4,49,247.8,248.1,95.78
4,50,248.0,248.1,95.77
4,51,248.0,248.2,95.80
4,52,248.1,248.2,95.80
4,53,247.4,247.4,95.49
4,54,247.4,247.5,95.55
4,55,247.5,247.6,95.59
4,56,247.3,247.5,95.55
4,57,247.2,247.2,95.43
4,58,247.1,247.3,95.46
4,59,247.3,247.2,95.43
4,60,247.5,247.7,95.61
4,61,247.6,247.4,95.51
4,62,247.1,247.2,95.43
4,63,247.0,247.2,95.42
4,64,247.0,246.9,95.32
4,65,247.1,247.0,95.36
4,66,247.0,247.2,95.42
4,67,247.1,247.1,95.37
4,68,247.0,247.0,95.35
4,69,246.8,246.7,95.25
4,70,247.7,247.8,95.67
4,71,247.2,246.9,95.32
4,72,246.8,247.1,95.40
4,73,247.5,247.7,95.62
4,74,247.8,247.8,95.65
4,75,247.2,247.1,95.39
4,76,246.8,246.7,95.24
4,77,246.6,246.6,95.19
4,78,246.4,246.5,95.17
4,79,246.6,246.8,95.28
4,80,246.9,246.9,95.33
4,81,245.3,245.7,94.83
4,82,247.6,247.8,95.67
4,83,248.2,248.1,95.76
4,84,248.1,247.9,95.71
4,85,246.9,245.7,94.86
4,86,246.4,247.6,95.59
4,87,247.8,247.5,95.53
4,88,247.6,247.4,95.52
4,89,247.3,247.2,95.45
4,90,247.2,247.1,95.38
4,91,246.9,246.8,95.27
4,92,246.5,246.6,95.22
4,93,247.0,246.9,95.31
4,94,246.6,246.1,94.99
4,95,246.1,246.2,95.04
4,96,246.1,246.2,95.04
4,97,246.3,246.3,95.10
4,98,246.0,246.0,94.97
4,99,246.1,246.1,95.01
4,100,246.6,246.6,95.20
4,101,246.3,246.2,95.03
4,102,246.1,246.0,94.98
4,103,246.0,245.9,94.93
4,104,246.0,246.2,95.04
4,105,245.3,245.6,94.81
4,106,246.5,246.2,95.05
4,107,245.8,245.3,94.70
4,108,245.6,245.6,94.83
4,109,245.9,245.9,94.94
4,110,245.8,245.7,94.85
4,111,245.8,245.9,94.94
4,112,246.6,246.7,95.23
4,113,246.8,246.8,95.28
4,114,246.7,246.4,95.11
4,115,246.0,245.9,94.93
4,116,245.8,245.6,94.81
4,117,245.6,245.7,94.85
4,118,245.6,245.8,94.90
4,119,245.6,245.3,94.70
4,120,245.8,245.7,94.85
4,121,245.6,245.8,94.87
4,122,245.6,245.7,94.85
4,123,245.7,245.6,94.80
4,124,245.3,245.4,94.71
4,125,245.7,246.1,95.01
4,126,246.3,246.2,95.04
4,127,245.8,245.7,94.87
4,128,245.6,245.4,94.75
4,129,245.5,245.4,94.75
4,130,245.2,245.0,94.57
4,131,244.7,244.7,94.46
4,132,244.9,245.0,94.60
4,133,245.0,245.2,94.65
4,134,245.3,245.3,94.70
4,135,245.4,245.5,94.79
4,136,245.4,245.1,94.63
4,137,245.1,244.7,94.48
4,138,244.7,244.8,94.50
4,139,244.6,244.7,94.48
4,140,244.3,244.4,94.33
4,141,244.2,244.1,94.22
4,142,243.9,243.9,94.16
4,143,243.9,244.0,94.18
4,144,244.2,244.3,94.30
4,145,244.8,244.8,94.50
4,146,244.6,244.5,94.39
4,147,244.8,244.9,94.53
4,148,244.9,244.7,94.48
4,149,244.6,244.7,94.48
4,150,244.7,244.4,94.34
4,151,244.6,244.7,94.46
4,152,244.8,244.7,94.46
4,153,244.7,244.5,94.39
4,154,244.6,244.6,94.44
4,155,244.5,244.6,94.41
4,156,244.4,244.3,94.31
4,157,244.4,244.2,94.27
4,158,244.4,244.4,94.34
4,159,244.3,244.3,94.32
4,160,244.2,244.1,94.22
4,161,244.2,244.2,94.25
4,162,244.0,243.8,94.12
4,163,244.2,243.9,94.17
4,164,244.1,244.1,94.22
4,165,243.9,244.0,94.19
4,166,244.1,244.0,94.21
4,167,244.3,244.3,94.33
4,168,244.7,244.6,94.43
4,169,244.6,244.4,94.34
4,170,244.5,244.4,94.34
4,171,244.6,244.5,94.40
4,172,244.8,244.7,94.45
4,173,244.6,244.3,94.33
4,174,244.3,244.1,94.22
4,175,243.9,243.8,94.10
4,176,243.7,243.6,94.05
4,177,243.7,243.6,94.04
4,178,243.9,243.9,94.17
4,179,243.8,243.7,94.07
4,180,242.6,241.9,93.39
4,181,242.0,242.6,93.66
4,182,242.8,242.7,93.68
4,183,242.5,242.5,93.61
4,184,242.5,242.7,93.68
4,185,242.4,242.0,93.40
4,186,242.4,242.6,93.66
4,187,242.7,242.6,93.64
4,188,242.6,242.5,93.62
4,189,242.4,242.3,93.52
4,190,242.3,242.3,93.52
4,191,241.9,242.3,93.52
4,192,243.0,242.8,93.71
4,193,242.0,242.1,93.47
4,194,242.6,242.9,93.76
4,195,243.1,242.6,93.66
4,196,242.0,242.2,93.51
4,197,242.8,242.4,93.59
4,198,242.6,243.0,93.81
4,199,242.5,241.9,93.39
4,200,241.7,241.6,93.27
4,201,241.6,241.4,93.18
4,202,241.4,241.4,93.18
4,203,241.2,241.2,93.09
4,204,241.0,240.8,92.98
4,205,240.6,241.1,93.08
4,206,241.6,241.6,93.26
4,207,241.6,241.1,93.07
4,208,241.2,241.8,93.33
4,209,241.8,241.3,93.16
4,210,241.0,240.8,92.97
4,211,240.9,240.7,92.93
4,212,240.7,240.4,92.82
4,213,240.2,240.3,92.77
4,214,240.9,241.5,93.21
4,215,241.5,241.3,93.16
4,216,241.1,241.1,93.08
4,217,241.4,241.4,93.20
4,218,241.4,241.2,93.13
4,219,241.0,241.2,93.09
4,220,241.2,240.8,92.96
4,221,241.7,241.9,93.39
4,222,242.3,241.5,93.23
4,223,241.0,240.9,92.99
4,224,240.7,240.9,92.99
4,225,241.5,241.6,93.25
4,226,241.7,241.6,93.25
4,227,241.0,240.6,92.87
4,228,240.5,240.5,92.84
4,229,240.4,240.3,92.77
4,230,240.3,240.1,92.68
4,231,240.0,239.8,92.56
4,232,239.8,239.8,92.56
4,233,239.7,239.7,92.55
4,234,239.7,239.4,92.41
4,235,239.4,239.4,92.43
