"","x"
"1",3.848200083
"2",3.851599932
"3",3.853800058
"4",3.856600046
"5",3.858500004
"6",3.861200094
"7",3.862799883
"8",3.864700079
"9",3.86619997
"10",3.868099928
"11",3.869299889
"12",3.871200085
"13",3.872100115
"14",3.874000072
"15",3.875200033
"16",3.877099991
"17",3.878000021
"18",3.880199909
"19",3.881400108
"20",3.883300066
"21",3.884500027
"22",3.886399984
"23",3.887900114
"24",3.889800072
"25",3.891000032
"26",3.893199921
"27",3.89470005
"28",3.896899939
"29",3.898799896
"30",3.900899887
"31",3.902800083
"32",3.904999971
"33",3.906800032
"34",3.909300089
"35",3.911200047
"36",3.913599968
"37",3.915499926
"38",3.918600082
"39",3.92050004
"40",3.922899961
"41",3.924799919
"42",3.927599907
"43",3.929800034
"44",3.932600021
"45",3.934700012
"46",3.937799931
"47",3.940000057
"48",3.943099976
"49",3.945300102
"50",3.948400021
